STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,YEAR,MONTH,PRCP,TAVG
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1951,11,6.3,-16.9
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1951,12,3.4,-26.7
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1952,1,3.7,-26.5
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1952,2,13.9,-25.1
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1952,3,4.5,-27.9
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1952,4,1.5,-17.4
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1952,5,0.3,-3.1
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1952,6,2.8,4
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1952,7,13.3,4.8
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1952,8,8,4.9
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1952,9,21.6,-0.9
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1952,10,1.8,-11.4
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1952,11,11.1,-14.8
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1952,12,7.5,-18
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1953,1,19.5,-22
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1953,2,7.4,-27.1
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1953,3,3.4,-26.8
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1953,4,1.1,-10.4
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1953,5,2.5,-2.2
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1953,6,0.5,0.7
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1953,7,10.7,5.4
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1953,8,21.8,4.1
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1953,9,8.2,-2.6
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1953,10,17.9,-13.3
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1953,11,25.1,-23
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1953,12,4.4,-28.6
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1954,1,9.2,-23.2
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1954,2,3.5,
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1954,3,11.9,-25.5
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1954,4,3.8,-12.3
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1954,5,7.6,-3.9
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1954,6,10.8,2.6
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1954,7,7.6,5
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1954,8,0.5,5.4
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1954,9,10.6,-2
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1954,10,4.9,-10
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1954,11,6.1,-17.8
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1954,12,4.3,-25.1
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1955,1,3.3,-28.2
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1955,2,7.3,-24.7
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1955,3,0,-24.1
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1955,4,4.2,-19.1
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1955,5,20.9,-9.6
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1955,6,7.9,2.8
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1955,7,3.8,5.2
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1955,8,41.5,4.1
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1955,9,1.3,-1.7
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1955,10,29.5,-4.4
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1955,11,16.3,-17.8
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1955,12,2.5,-21.5
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1956,1,2.1,-23.6
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1956,2,2.1,-25
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1956,3,1.9,-28.1
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1956,4,3.1,-16.6
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1956,5,3.4,-7.2
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1956,6,0.5,2.1
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1956,7,18.7,5.9
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1956,8,36.1,4.6
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1956,9,4.6,-2.8
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1956,10,17,-8
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1956,11,4.6,-18
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1956,12,2.2,-22.2
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1957,1,0.3,-26.6
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1957,2,3.2,-20.9
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1957,3,2,-22.4
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1957,4,0,-18.3
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1957,5,1.4,-2.4
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1957,6,0,5.1
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1957,7,77.9,8.2
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1957,8,7.4,6.3
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1957,9,63,1.1
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1957,10,35.8,-12.1
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1957,11,15.8,-17.9
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1957,12,6.6,-22.7
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1958,1,26.9,-23.2
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1958,2,39.6,-21.2
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1958,3,2.6,-23.6
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1958,4,2.2,-22.3
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1958,5,3,-4.2
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1958,6,1.9,3.3
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1958,7,1.4,5.6
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1958,8,2.1,3.3
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1958,9,8.9,-4.7
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1958,10,31.1,-12.2
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1958,11,19,-21.4
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1958,12,15,-20.3
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1959,1,3.8,-18.3
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1959,2,2.6,-25
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1959,3,3.8,-29.2
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1959,4,7.4,-17.1
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1959,5,1.6,-6
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1959,6,28.4,2.9
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1959,7,17.8,5.7
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1959,8,4.1,3.8
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1959,9,13.2,-2.1
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1959,10,17.3,-11.5
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1959,11,5.4,-16.9
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1959,12,6.6,-25.2
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1960,1,5.9,-24.3
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1960,2,6.1,-24.7
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1960,3,14.6,-29.4
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1960,4,2.4,-19.8
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1960,5,6.8,-5.4
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1960,6,3.8,3.1
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1960,7,17,7.2
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1960,8,3,5.5
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1960,9,17.1,-3.3
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1960,10,9.5,-6
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1960,11,23.6,-14.4
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1960,12,3.7,-23.2
GLW00017605,"PITUFFIK, GL",76.51667,-68.83333,77.1,1961,1,4.1,-29.9
